 馬名,Ｃ,性齢,状態,厩舎,着度数,収得賞金,種牡馬,母名,馬主,生産者,生産地,馬記号,生年,誕生日,血統登録番号,取引価格,馬名の意味由来,欧字馬名
ヴィルフランシュ,,牝2,不在,(美)牧光二, 0- 0- 0- 1,0,ハーツクライ,レディドーヴィル,シルク,ノーザンファーム,安平町,,2012,4月26日,2012104927,,フランスのリゾート地より。母名より連想,Villefranche
チェルカトーレ,,牝2,不在,(栗)清水久詞, 0- 0- 0- 0,0,ステイゴールド,エーソングフォー,ロードホースクラブ,エクセルマネジメント,えりも町,,2012,3月18日,2012104945,,探究者（伊）,Cercatore
バラモノガタリ,,牝2,不在,(美)畠山重則, 0- 0- 0- 0,0,スパイキュール,ニッシンナイナー,ミルファーム,上島牧場,えりも町,,2012,5月5日,2012104955,73.5万円,薔薇物語。絵画名より,"Bara Monogatari"
カゼニモマケズ,,牝2,在厩,(美)石栗龍彦, 0- 0- 0- 0,0,パイロ,ミココロ,江川伸夫,清水スタッド,様似町,,2012,3月26日,2012105006,,風にも負けず,Kazenimomakezu
ヒノキノカホリ,,牝2,在厩,(美)田島俊明, 0- 0- 0- 1,0,ハイアーゲーム,アピューリア,ビッグレッドファーム,富田恭司,様似町,,2012,4月25日,2012105023,105万円,檜の香りより。檜が長く香るよう血統も,"Hinokino Kahori"
ノブローズ,,牝2,不在,(栗)昆貢, 0- 0- 0- 0,0,ヨハネスブルグ,サインゴールド,前田亘輝,堀弘康,様似町,,2012,3月7日,2012105048,,冠名＋薔薇,"Nobu Rose"
ココロナルハ,,牝2,在厩,(栗)福島信晴, 0- 0- 0- 0,0,ブラックタイド,ヤマカツセイレーン,藤原征士郎,大西ファーム,浦河町,,2012,4月30日,2012105141,,心＋家族名より,"Kokoro Naruha"
テイエムキッポウ,,牝2,在厩,(美)石栗龍彦, 0- 0- 0- 0,0,ホワイトマズル,ママラヴスマンボ,竹園正繼,田中スタッド,浦河町,,2012,3月24日,2012105345,525万円,冠名＋吉報,"T M Kippo"
グランドポピー,,牝2,在厩,(栗)岩元市三, 0- 0- 0- 0,0,ダイワメジャー,グランドグリーン,田畑利彦,宮内牧場,浦河町,,2012,4月24日,2012105609,,母名の一部＋花名,"Grand Poppy"
ナイアガラモンロー,,牝2,在厩,(美)堀井雅広, 0- 0- 0- 0,0,アドマイヤムーン,マルハチメイフェア,塩田清,鮫川啓一,浦河町,,2012,2月22日,2012105927,,映画名＋人名より,"Niagara Monroe"
ハタノシュヴァリエ,,牝2,在厩,(栗)昆貢, 0- 0- 0- 0,0,ディープスカイ,オーピーキャット,グッドラック・ファーム,中神牧場,浦河町,,2012,4月9日,2012105996,420万円,冠名＋騎士（仏）,"Hatano Chevaliere"
キープマイワード,,牝2,不在,(美)小野次郎, 0- 0- 0- 0,0,ボストンハーバー,ミューズマジック,島田久,ヒダカフアーム,浦河町,,2012,4月26日,2012106062,,約束を守る,"Keep My Word"
シェリエ,,牝2,在厩,(美)天間昭一, 0- 0- 0- 0,0,ノボジャック,トップデラッキ,桐谷茂,高田利雄,新ひだか町,,2012,3月2日,2012106199,,人名より,Cherrier
ターンブルブルー,,牝2,在厩,(美)畠山吉宏, 0- 0- 0- 0,0,フサイチコンコルド,トモロネヴァノウズ,ブルーマネジメント,川上牧場,新冠町,,2012,4月20日,2012106223,,紺青の種類の一つ,"Turnbull's Blue"
ミキノソレイユ,,牝2,不在,(栗)大橋勇樹, 0- 0- 0- 0,0,サイレントディール,ミキノモナコ,谷口久和,浦河育成牧場,浦河町,,2012,5月5日,2012106389,,冠名＋太陽（仏）,"Mikino Soleil"
テイエムオハラハア,,牝2,在厩,(栗)岩元市三, 0- 0- 0- 0,0,サクラプレジデント,テイエムマウンテン,竹園正繼,テイエム牧場,鹿児島県,,2012,3月13日,2012109185,,冠名＋鹿児島県おはら節より,"T M Oharaha"
アラマサファスリ,,牝2,在厩,(美)的場均, 0- 0- 0- 0,0,ファスリエフ,ゴーンスペクター,アラキファーム,アラキフアーム,新冠町,,2012,4月4日,2012100045,,冠名＋父名より,"Aramasa Fasli"
ロゼスピリッツ,,牝2,在厩,(美)高橋義博, 0- 0- 0- 0,0,マツリダゴッホ,ロゼッタ,高橋信博,上井農場,新冠町,,2012,4月10日,2012100139,,母名より＋魂,"Rose Spirits"
テイエムオタカラ,,牝2,在厩,(栗)浜田多実, 0- 0- 0- 0,0,ストーミングホーム,スノーアード,竹園正繼,タニグチ牧場,新冠町,,2012,3月24日,2012100367,262.5万円,冠名＋お宝,"T M Otakara"
ドリームマオ,,牝2,在厩,(美)伊藤圭三, 0- 0- 0- 0,0,ゴールドアリュール,ドリームレインボー,ドリームターフ組合,堂島牧場,新冠町,,2012,4月29日,2012100446,,冠名＋人名より,"Dream Mao"
ウェーブランチャン,,牝2,在厩,(栗)平田修, 0- 0- 0- 0,0,ネオユニヴァース,ブルーレイ,万波健二,新冠橋本牧場,新冠町,,2012,3月2日,2012100550,,冠名＋人名より＋呼称,"Wave Ranchan"
ワットプラケオ,,牝2,在厩,(美)松山将樹, 0- 0- 0- 0,0,スペシャルウィーク,ゴールドフォイル,ビッグレッドファーム,ビッグレッドファーム,新冠町,,2012,5月4日,2012100696,,タイの寺院名,"Wat Phrakeaw"
イロジカケ,,牝2,不在,(美)星野忍, 0- 0- 0- 0,0,クロフネ,リッジローズ,内田玄祥,前川隆範,新冠町,,2012,5月15日,2012100787,210万円,色気を以て何事かを実現しようとすること,Irojikake
オーミアリス,,牝2,在厩,(栗)藤沢則雄, 0- 0- 0- 0,0,ホワイトマズル,ポットアカデミー,岩崎僖澄,松木加代,新冠町,,2012,4月12日,2012100809,,冠名＋不思議の国のアリスより,"Omi Alice"
オーキャロル,,牝2,在厩,(栗)田中章博, 0- 0- 0- 0,0,キングカメハメハ,ヒカルエガオ,吉田昌久,守矢牧場,新冠町,,2012,4月6日,2012100915,,６０年代のヒット曲名,"Oh Carol"
ボーベルレーヌ,,牝2,在厩,(栗)加用正, 0- 0- 0- 0,0,シンボリクリスエス,ラインレジーナ,ローレルレーシング,若林牧場,新冠町,,2012,4月7日,2012100975,,美しい王妃（仏）,"Beaubelle Reine"
トーセンブルース,,牝2,不在,(美)木村哲也, 0- 0- 0- 0,0,ジャングルポケット,セシルブルース,島川隆哉,エスティファーム,日高町,,2012,2月5日,2012101088,,冠名＋母名の一部,"Tosen Blues"
トーセンメリッサ,,牝2,在厩,(美)加藤征弘, 0- 0- 0- 0,0,トーセンブライト,トーセンマドンナ,島川隆哉,エスティファーム,日高町,,2012,4月16日,2012101108,,冠名＋人名より,"Tosen Melissa"
ヴィクトリースノー,,牝2,在厩,(美)武井亮, 0- 0- 0- 0,0,スウェプトオーヴァーボード,カネスヴィバーチェ,古賀慎一,大江牧場,日高町,,2012,4月10日,2012101126,,冠名＋雪,"Victory Snow"
アズマクィーン,,牝2,在厩,(栗)河内洋, 0- 0- 0- 0,0,アドマイヤムーン,ハートオブクィーン,東哲次,木村牧場,日高町,,2012,3月5日,2012101205,,冠名＋母名の一部,"Azuma Queen"
ダンツストーン,,牝2,在厩,(栗)池添兼雄, 0- 0- 0- 0,0,タイキシャトル,トリアノンパレス,山元哲二,下河辺牧場,日高町,,2012,4月12日,2012101361,550.8万円,冠名＋宝石,"Dantsu Stone"
モエルア,,牝2,不在,(美)栗田徹, 0- 0- 0- 0,0,エンパイアメーカー,リリーポンド,山口功一郎,白井牧場,日高町,,2012,2月28日,2012101434,972万円(他),２つの夢（ハワイ語）,"Moe Elua"
タマモイヤリング,,牝2,在厩,(栗)角田晃一, 0- 0- 0- 0,0,ブラックタイド,タマモピアス,タマモ,スマイルファーム,日高町,,2012,2月19日,2012101462,,冠名＋耳飾り。母名より連想,"Tamamo Earring"
マロンミルフィーユ,,牝2,在厩,(美)和田雄二, 0- 0- 0- 0,0,スペシャルウィーク,フェルナンディーナ,加納大志,長谷川牧場,日高町,,2012,1月31日,2012101760,,栗の菓子,Marronmillefeuille
アーリーズベル,,牝2,不在,(美)浅野洋一, 0- 0- 0- 0,0,タニノギムレット,ビューティグロー,浜本牧場,浜本牧場,日高町,,2012,3月10日,2012101774,,うまくいく（ＡｌｌＩｓＷｅｌｌ）のインド訛り,"Aal Izz Well"
バイオレットフィズ,,牝2,不在,(栗)飯田祐史, 0- 0- 0- 0,0,タニノギムレット,プライムオブユース,中山速水,日高大洋牧場,日高町,,2012,3月24日,2012101809,918万円(他),カクテル名,"Violet Fizz"
ナスカザン,,牝2,在厩,(美)鈴木伸尋, 0- 0- 0- 0,0,ダイワメジャー,ルーズブルーマーズ,小山田満,日高大洋牧場,日高町,,2012,2月22日,2012101815,630万円,那須＋火山,"Nasu Kazan"
シゲルウチワマツリ,,牝2,在厩,(栗)柴田光陽, 0- 0- 0- 0,0,ザール,ツルノゴゼン,森中蕃,宝寄山忠則,日高町,,2012,4月15日,2012101883,136.5万円,冠名＋祭名「うちわ祭（関東）」より,Shigeruutiwamaturi
コイノツナワタリ,,牝2,不在,(美)谷原義明, 0- 0- 0- 0,0,カミツキ,クロカミノマイ,泉一郎,吉野政敏,宮崎県,,2012,3月13日,2012102214,,恋の綱渡り,"Koino Tsunawatari"
ルアンジュ,,牝2,在厩,(栗)笹田和秀, 0- 0- 0- 0,0,マンハッタンカフェ,サッカーマム,ロードホースクラブ,ケイアイファーム,新ひだか町,,2012,3月12日,2012102296,,天使（仏）,"Le Ange"
ユウユウ,,牝2,在厩,(美)高柳瑞樹, 0- 0- 0- 0,0,ロードアルティマ,レディアマポーラ,中村祐子,ケイアイファーム,新ひだか町,,2012,4月30日,2012102299,,馬主名より,Yuyu
マラカイトスター,,牝2,在厩,(美)伊藤伸一, 0- 0- 0- 0,0,シニスターミニスター,シークレットソング,本間茂,斉藤スタッド,新ひだか町,,2012,5月1日,2012102321,189万円,孔雀石＋父名より,"Malachite Ster"
アンブリカル,,牝2,在厩,(美)清水英克, 1- 0- 0- 0,400,マンハッタンカフェ,ディアマンティナ,上野直樹,下屋敷牧場,新ひだか町,,2012,4月12日,2012102348,1890万円,臍（へそ）,Umbilical
パールヴァティー,,牝2,不在,(美)伊藤大士, 0- 0- 0- 0,0,タイキシャトル,アルアメント,チャンピオンズファーム,田上稔,新ひだか町,,2012,4月22日,2012102371,945万円,ヒンドゥー教の女神,Parvati
ギンザジャンヌ,,牝2,在厩,(美)水野貴広, 0- 0- 0- 0,0,デュランダル,ローレルウィッチ,有馬博文,三石橋本牧場,新ひだか町,,2012,4月26日,2012102572,346.5万円,冠名＋勇敢な女騎士名より,"Ginza Jeanne"
アゲート,,牝2,在厩,(栗)西橋豊治, 0- 0- 0- 0,0,フサイチリシャール,クィーンヘイロー,岩崎僖澄,三石ビクトリーファーム,新ひだか町,,2012,3月21日,2012102576,,自然愛の守り神といわれているパワーストーン,Agate
カゼノカオリ,,牝2,在厩,(栗)浅見秀一, 0- 0- 0- 0,0,ゼンノロブロイ,デスピュートロマン,杉山忠国,明治牧場,新ひだか町,,2012,4月12日,2012102597,,風の香り,"Kazeno Kaori"
ハーティタイトル,,牝2,在厩,(美)石毛善彦, 0- 0- 0- 0,0,サムライハート,イケタイトル,フジワラ・ファーム,森俊雄,新ひだか町,,2012,3月3日,2012102612,126万円,心のこもったタイトル。母名より連想,"Hearty Title"
ナムラカグヤヒメ,,牝2,在厩,(栗)目野哲也, 0- 0- 0- 0,0,エンパイアメーカー,ナムラウタヒメ,奈村信重,漆原哲雄,新ひだか町,,2012,4月29日,2012102729,,冠名＋童話の主人公名,"Namura Kaguyahime"
キタサンロングラン,,牝2,不在,(栗)須貝尚介, 0- 0- 0- 0,0,アドマイヤムーン,キタサンヒボタン,大野商事,カタオカステーブル,新ひだか町,,2012,2月14日,2012102792,,冠名＋長期興行,"Kitasan Long Run"
キュウデン,,牝2,在厩,(美)佐藤吉勝, 0- 0- 0- 0,0,ファルブラヴ,チアズスワロー,重松國建,今牧場,新ひだか町,,2012,3月6日,2012102905,,宮殿,Kyuden
パルパルパピヨン,,牝2,不在,(美)尾形和幸, 0- 0- 0- 0,0,ゴールドアリュール,ビジューブリアン,堀口晴男,田中裕之,新ひだか町,,2012,4月1日,2012103079,210万円,冠名＋蝶（仏）,"Palpal Papillon"
アップリズム,,牝2,在厩,(美)和田雄二, 0- 0- 0- 0,0,パイロ,アシュワー,西村新一郎,田原橋本牧場,新ひだか町,,2012,5月2日,2012103118,,上のほうへ＋リズム,"Up Rhythm"
ジェイケイバゴ,,牝2,在厩,(美)本間忍, 0- 0- 0- 0,0,バゴ,ジェイケイカフェ,小谷野次郎,藤川フアーム,新ひだか町,,2012,3月30日,2012103442,,冠名＋父名,"J K Bago"
ノンリケット,,牝2,在厩,(栗)千田輝彦, 0- 0- 0- 0,0,ディープスカイ,クリスビーナス,大塚亮一,藤沢牧場,新ひだか町,,2012,1月28日,2012103451,,真偽不明（ラテン語）,"Non Liquet"
テイア,,牝2,不在,(美)尾関知人, 0- 0- 0- 0,0,マヤノトップガン,ロココスタイル,ミルファーム,岡田スタツド,新ひだか町,,2012,4月17日,2012103681,105万円,ギリシャ神話の女神で巨人族の一人,Theia
トウケイワイルド,,牝2,在厩,(栗)高橋亮, 0- 0- 0- 0,0,ゴールドアリュール,ユーワアクトレス,木村信彦,坂本智広,新ひだか町,,2012,2月14日,2012103696,,冠名＋米国戦闘機ワイルドキャットより,"Tokei Wild"
クリノケンパイ,,牝2,在厩,(栗)大根田裕, 0- 0- 0- 0,0,デュランダル,エアステビア,栗本博晴,上水牧場,むかわ町,,2012,4月25日,2012103786,723.6万円,冠名＋懸牌（麻雀用語）,"Kurino Kempai"
アポロオウレン,,牝2,在厩,(美)岩戸孝樹, 0- 0- 0- 0,0,ロッコウオロシ,カサブランカリリー,アポロサラブレッドクラブ,真壁信一,むかわ町,,2012,3月21日,2012103884,,冠名＋黄蓮。花言葉は変身,"Apollo Oren"
ステイハッピー,,牝2,不在,(美)田島俊明, 0- 0- 0- 0,0,ステイゴールド,スプレッドスマイル,サンデーレーシング,追分ファーム,安平町,,2012,2月10日,2012104004,,いつまでもお幸せに,"Stay Happy"
ルノンキュール,,牝2,不在,(美)藤沢和雄, 0- 0- 0- 0,0,ゼンノロブロイ,アドヴァーシティ,山本剛史,社台ファーム,千歳市,,2012,1月28日,2012104121,,ラナンキュラス（仏）。花言葉は「あなたには、とても魅力がある」,Renoncule
オランジュバトー,,牝2,在厩,(美)蛯名利弘, 0- 0- 0- 0,0,クロフネ,オレンジシュプール,井手慶祐,社台ファーム,千歳市,,2012,5月8日,2012104175,1680万円,オレンジの船（仏）。父名、母名より連想,"Orange Bateau"
クイーンコメット,,牝2,不在,(美)伊藤圭三, 0- 0- 0- 0,0,ファルブラヴ,クイーンアイリス,社台レースホース,社台ファーム,千歳市,,2012,1月31日,2012104201,,母名の一部＋彗星,"Queen Comet"
トーセンラブリー,,牝2,在厩,(美)菅原泰夫, 0- 0- 0- 0,0,ゼンノロブロイ,パドプロブレム,島川隆哉,社台ファーム,千歳市,,2012,3月7日,2012104334,945万円,冠名＋可愛い,"Tosen Lovely"
オージーアイドル,,牝2,在厩,(美)栗田徹, 0- 0- 0- 0,0,スニッツェル,フレンチアイドル,窪田康志,社台ファーム,千歳市,,2012,3月31日,2012104361,1134万円,オーストラリアのアイドル。豪州産の父と母名より連想,"Aussie Idol"
ミルファンティ,,牝2,不在,(美)矢野英一, 0- 0- 0- 0,0,クロフネ,ミルフィオリ,社台レースホース,社台ファーム,千歳市,,2012,2月25日,2012104435,,イタリア風かき卵スープ,"Mille Fanti"
エアルナ,,牝2,不在,(栗)吉村圭司, 0- 0- 0- 0,0,ハービンジャー,エアパスカル,ラッキーフィールド,ノーザンファーム,安平町,,2012,3月12日,2012104555,,冠名＋ローマ神話の月の女神,"Air Luna"
シャンデリアハウス,,牝2,不在,(栗)牧浦充徳, 0- 0- 0- 0,0,ヴァーミリアン,カーリーエンジェル,サンデーレーシング,ノーザンファーム,安平町,,2012,4月5日,2012104583,,シャンデリアの家,"Chandelier House"
トーセンビクトリー,和,牝2,不在,(栗)角居勝彦, 0- 0- 0- 0,0,キングカメハメハ,トゥザヴィクトリー,島川隆哉,ノーザンファーム,安平町,,2012,4月23日,2012104733,11025万円,冠名＋勝利,"Tosen Victory"
カービングパス,小,牝2,在厩,(美)藤沢和雄, 0- 0- 0- 0,0,ハービンジャー,ハッピーパス,サンデーレーシング,ノーザンファーム,安平町,,2012,1月26日,2012104757,,彫刻模様のパスケース,"Carving Pass"
クローソー,,牝2,不在,(栗)平田修, 0- 0- 0- 0,0,ハービンジャー,ブリトマルティス,大島昌也,ノーザンファーム,安平町,,2012,3月8日,2012104802,3360万円,ギリシャ神話に登場する女神名,Klotho
ペンタプリズム,,牝2,不在,(美)高柳瑞樹, 0- 0- 0- 0,0,メイショウサムソン,ルミナスポイント,サンデーレーシング,ノーザンファーム,安平町,,2012,2月28日,2012104920,,一眼レフカメラで用いられる光の反射,Pentaprism
サンエバレット,,牝2,不在,(美)土田稔, 0- 0- 0- 0,0,フォーティナイナーズサン,グレースグロリアス,加藤信之,今井秀樹,浦河町,,2012,5月21日,2012105074,,冠名＋アメリカの都市名,"Sun Everett"
アルボルデヴィダ,,牝2,在厩,(栗)飯田祐史, 0- 0- 0- 0,0,ジャイアントレッカー,ロングパイル,泉一郎,高野牧場,浦河町,,2012,3月14日,2012105329,,生命の樹（西）,"Arbol de Vida"
パワーウーマン,,牝2,不在,(栗)昆貢, 0- 0- 0- 0,0,ハービンジャー,エンキャンタドゥ,寺田千代乃,辻牧場,浦河町,,2012,4月11日,2012105397,,能力ある女性,"Power Woman"
ツァーリーナ,,牝2,在厩,(美)大久保洋, 0- 0- 0- 0,0,エンパイアメーカー,ペイドリン,窪田康志,信岡牧場,浦河町,,2012,2月22日,2012105486,945万円,女帝（ロシア語）。父名より連想,Czarina
タキオンレディー,,牝2,在厩,(栗)柴田光陽, 0- 0- 0- 0,0,クロフネ,キョウエイタキオン,宮内牧場,宮内牧場,浦河町,,2012,3月2日,2012105607,,母名の一部＋淑女,"Tachyon Lady"
マテルドロローザ,,牝2,不在,(美)高橋祥泰, 0- 0- 0- 0,0,メイショウボーラー,ミラクルケープ,ミルファーム,ミルファーム,浦河町,,2012,4月11日,2012105641,,絵画名「悲しみの聖母」,"Mater Dolorosa"
プリンセスルビー,,牝2,在厩,(美)松永康利, 0- 0- 0- 0,0,アドマイヤジャパン,ラベルビジュー,スリースターズレーシング,秋場牧場,浦河町,,2012,3月20日,2012105716,84万円,姫＋宝石名,"Princess Ruby"
マヤジョワイユ,,牝2,不在,(栗)大橋勇樹, 0- 0- 0- 0,0,シンボリクリスエス,マヤラブハート,まの,市川フアーム,浦河町,,2012,4月10日,2012105724,,冠名＋ご機嫌（仏）,"Maya Joyeux"
シゲルヨマツリ,,牝2,在厩,(栗)藤沢則雄, 0- 0- 0- 0,0,ストーミングホーム,シゲルバツグン,森中蕃,馬道繁樹,浦河町,,2012,4月12日,2012105742,,冠名＋祭名「秩父夜祭（埼玉）」より,"Shigeru Yomatsuri"
クリノメンタンピン,,牝2,在厩,(栗)作田誠二, 0- 0- 0- 0,0,チーフベアハート,カルチェラタン,栗本博晴,荻伏三好フアーム,浦河町,,2012,4月3日,2012105784,105万円,冠名＋メンタンピン（麻雀用語）,"Kurino Mentampin"
トリアンドルス,,牝2,在厩,(美)松山将樹, 0- 0- 0- 0,0,マツリダゴッホ,デヴェロッペ,ディアレスト,小島牧場,浦河町,,2012,5月7日,2012105900,,スイセンの品種名,Triandrus
ウォーターアイリス,,牝2,在厩,(栗)河内洋, 0- 0- 0- 0,0,アドマイヤムーン,サクセスイザベラ,山岡良一,伏木田牧場,浦河町,,2012,3月27日,2012106077,1050万円,冠名＋花名,"Water Iris"
シアワセノキザシ,,牝2,在厩,(栗)浜田多実, 0- 0- 0- 0,0,ハービンジャー,シアワセナンダッケ,窪田康志,吉田ファーム,浦河町,,2012,3月17日,2012106128,,幸せの兆し。父名、母名より連想,"Shiawaseno Kizashi"
フィールドスラッピ,,牝2,不在,(栗)坂口正則, 0- 0- 0- 0,0,ヴァーミリアン,フィールドスピカ,ダイヤモンドファーム,ダイヤモンドファーム,浦河町,,2012,4月15日,2012106221,,母名の一部＋不規則にやってくるうねり（サーフィン用語）,"Field Slappy"
サカジロビューティ,,牝2,在厩,(栗)白井寿昭, 0- 0- 0- 1,0,シンボリクリスエス,スイートクラフティ,ロイヤルパーク,シンボリ牧場,日高町,,2012,5月12日,2012109109,1738.8万円(他),冠名＋美しさ,"Sakajiro Beauty"
ヒマラヤテンカ,,牝2,在厩,(美)小桧山悟, 0- 0- 0- 0,0,スクワートルスクワート,ニシノココロ,辻大作,片山建治,熊本県,,2012,3月27日,2012109155,540万円,,"Himalaya Tenka"
コウザンキサス,,牝2,在厩,(栗)目野哲也, 0- 0- 0- 0,0,ダンツシアトル,キサスキサスキサス,山下良子,戸田ゆり子,宮崎県,,2012,2月21日,2012109201,,冠名＋母名の一部,"Kozan Quizas"
パンプキンパイ,,牝2,在厩,(栗)西橋豊治, 0- 0- 0- 0,0,ステイゴールド,クリスティーナサンチェス,山本茂,秋田牧場,新冠町,,2012,3月21日,2012100019,451.5万円,カボチャのパイ,"Pumpkin Pie"
イシス,,牝2,在厩,(美)高橋裕, 0- 0- 0- 0,0,キングヘイロー,アラマサスナイパー,M・Kenichiホールディング,アラキフアーム,新冠町,,2012,3月18日,2012100041,,エジプト神話の女神,Isis
アルマエルモ,,牝2,在厩,(美)高橋文雅, 0- 0- 0- 0,0,クロフネ,コスモハイクラス,コウトミックレーシング,イワミ牧場,新冠町,,2012,3月11日,2012100073,,冠名＋兜（伊）,"Alma Elmo"
ライトザライト,,牝2,在厩,(美)高市圭二, 0- 0- 0- 0,0,トーセンダンス,ステージワンスモア,グリーンスウォード,競優牧場,新冠町,,2012,2月14日,2012100199,73.5万円,灯りを点けろ,"Light the Light"
ガンバレヒトリッコ,,牝2,在厩,(美)根本康広, 0- 0- 0- 0,0,シルクハリアー,ミラクルモーメント,福田光博,小泉学,新冠町,,2012,4月19日,2012100220,216万円,頑張れ一人っ子。父馬の本世代の産駒が１頭だけなので,"Gambare Hitorikko"
ソフォニスバ,,牝2,在厩,(美)栗田博憲, 0- 0- 0- 0,0,コンデュイット,コスモマーベラス,岡田繁幸,コスモヴューファーム,新冠町,,2012,3月1日,2012100237,,戯曲「ソフォニスバ、驚くべき女人」より。母名より連想,Sophonisba
スーパーフレア,,牝2,在厩,(美)和田正一, 0- 0- 0- 0,0,アルデバラン2,エリモルミナス,スピードファーム,スピードフアーム,新冠町,,2012,3月8日,2012100323,,太陽面大爆発,Superflare
リベルテラミューズ,,牝2,在厩,(美)谷原義明, 0- 0- 0- 0,0,チチカステナンゴ,リマレックス,竹本弘,田渕牧場,新冠町,,2012,3月9日,2012100375,,自由の女神（仏）,"Liberte la Muse"
マロンマロン,,牝2,在厩,(栗)清水久詞, 0- 0- 0- 0,0,スニッツェル,フェーデ,藤田孟司,ノースヒルズ,新冠町,,2012,4月23日,2012100612,,栗（仏）。愛くるしい風貌より連想,"Marron Marron"
グッドピアス,,牝2,在厩,(栗)川村禎彦, 0- 0- 0- 0,0,ダイワメジャー,グッドティアラ,杉立恭平,ヒノデファーム,新冠町,,2012,3月17日,2012100656,,冠名＋ピアス。母名より連想,"Good Pierce"
トゥルームーン,,牝2,在厩,(美)牧光二, 0- 0- 0- 0,0,マツリダゴッホ,アイアムトゥルー,鈴木芳夫,荒井ファーム,日高町,,2012,4月6日,2012101040,451.5万円,母名の一部＋月,"True Moon"
トーセンワルツ,,牝2,在厩,(美)菅原泰夫, 0- 0- 0- 0,0,トーセンファントム,ワルツオブキャット,島川隆哉,エスティファーム,日高町,,2012,4月1日,2012101122,,冠名＋母名の一部,"Tosen Waltz"
スペチアーレ,,牝2,在厩,(美)矢野英一, 1- 0- 0- 0,400,ダイワメジャー,ターキー,青山洋一,下河辺牧場,日高町,,2012,4月15日,2012101355,,特別な（伊）,Speciale
ストロベリーズ,,牝2,在厩,(美)小島太, 0- 0- 0- 0,0,コマンズ,ストロベリーフェア,H.H.シェイク・モハメド,ダーレー・ジャパン・ファーム,日高町,,2012,3月7日,2012101554,,苺,Strawberries
ショウナンマラーク,,牝2,在厩,(美)国枝栄, 0- 0- 0- 0,0,エンパイアメーカー,ショウナンアンジュ,国本哲秀,日西牧場,日高町,,2012,4月23日,2012101721,,冠名＋天使（アラビア語）,"Shonan Malak"
アルマニンファ,,牝2,在厩,(美)伊藤大士, 0- 0- 0- 0,0,スペシャルウィーク,シャルマンダー,コウトミックレーシング,日高大洋牧場,日高町,,2012,5月28日,2012101802,,冠名＋精霊（伊）,"Alma Ninfa"
ナデシコチョウサン,,牝2,在厩,(美)小笠倫弘, 0- 0- 0- 0,0,ディープインパクト,ステイヤング,チョウサン,坂東牧場,平取町,,2012,2月29日,2012102128,,撫子＋冠名,"Nadeshiko Chosan"
エリー,,牝2,不在,(美)奥平雅士, 0- 0- 0- 0,0,ゴールドアリュール,パラダイスフラワー,山本武司,びらとり牧場,平取町,,2012,3月10日,2012102144,,光、慈悲（Ｅｌｅａｎｏｒ）に由来する女性名,Ellie
シルフ,,牝2,在厩,(美)栗田徹, 0- 0- 0- 0,0,プリサイスエンド,オナーリーブ,ノースヒルズ,ノースヒルズ,新冠町,,2012,2月6日,2012102170,,空気の精。ほっそりとして優美な女性,Sylph
ノッツダルジェント,,牝2,不在,(栗)庄野靖志, 0- 0- 0- 0,0,バゴ,タイキトライアンフ,樋上博昭,タガミファーム,新ひだか町,,2012,2月13日,2012102366,1188万円(他),銀婚式（伊）,"Nozze d'Argento"
ワキノビクトリー,,牝2,不在,(栗)村山明, 0- 0- 0- 0,0,サムライハート,ワキノドライバー,脇山良之,広田牧場,新ひだか町,,2012,4月19日,2012102476,,冠名＋勝利,"Wakino Victory"
リリーグランツ,,牝2,在厩,(美)矢野英一, 0- 0- 0- 0,0,ハーツクライ,コメンデーション,森岡幸人,前川正美,新ひだか町,,2012,4月25日,2012102520,810万円,純白な＋輝き（独）,"Lily Glanz"
パルミエ,,牝2,不在,(美)浅野洋一, 0- 0- 0- 0,0,ケイムホーム,イースタンロマン,井上修一,元茂牧場,新ひだか町,,2012,5月7日,2012102602,,椰子の木,Palmier
フクムスメ,,牝2,不在,(美)武市康男, 0- 0- 0- 0,0,ファルブラヴ,サトノフタバ,西村新一郎,荒谷輝和,新ひだか町,,2012,4月11日,2012102670,,福娘,"Fuku Musume"
ナンゴクロマンス,,牝2,在厩,(美)松永康利, 0- 0- 0- 0,0,エンパイアメーカー,ミスフェリチタ,平本敏夫,石川牧場,新ひだか町,,2012,4月27日,2012102692,,南国＋ロマンス,"Nangoku Romance"
オーラクィーン,,牝2,在厩,(美)小島茂之, 0- 0- 0- 0,0,アドマイヤオーラ,サンレイククイン,福島祐子,岡野牧場,新ひだか町,,2012,5月7日,2012102779,262.5万円,父名の一部＋女王,"Aura Queen"
トロピカルガーデン,,牝2,在厩,(美)武藤善則, 0- 0- 0- 0,0,ハイアーゲーム,ウディバードソング,田頭勇貴,金宏二,新ひだか町,,2012,2月28日,2012102832,157.5万円,熱帯地方＋庭園,"Tropical Garden"
テイエムクロツル,,牝2,在厩,(栗)木原一良, 0- 0- 0- 0,0,バゴ,アインライツ,竹園正繼,坂本春雄,新ひだか町,,2012,2月15日,2012102927,,冠名＋黒鶴,"T M Kurotsuru"
イエローラベンダー,,牝2,在厩,(栗)高橋亮, 0- 0- 0- 0,0,カネヒキリ,コパノオマモリ,飯田正剛,千代田牧場,新ひだか町,,2012,4月27日,2012103154,,黄色＋ラベンダー,"Yellow Lavender"
